,ADDRTYPE,SDOT_COLCODE,WEATHER,ROADCOND,LIGHTCOND,SPEEDING,YEAR
16981,Intersection,11,Raining,Wet,Dusk,,2005
16985,Intersection,11,Overcast,Dry,Dark - Street Lights On,,2005
16987,Intersection,11,Clear,Dry,Daylight,,2005
16992,Intersection,11,Clear,Dry,Daylight,,2005
17002,Intersection,11,Clear,Dry,Dark - Street Lights On,,2005
17007,Intersection,11,Clear,Dry,Daylight,,2005
17008,Intersection,11,Overcast,Wet,Daylight,,2005
17011,Intersection,11,Clear,Dry,Daylight,,2005
17021,Intersection,11,Clear,Dry,Daylight,,2005
17026,Intersection,11,Clear,Dry,Daylight,,2005
17027,Intersection,11,Clear,Dry,Daylight,,2005
17028,Intersection,11,Clear,Dry,Daylight,,2005
17029,Intersection,11,Clear,Dry,Dark - Street Lights On,,2005
17033,Intersection,11,Clear,Dry,Dark - Street Lights On,,2005
17036,Intersection,11,Overcast,Wet,Daylight,,2005
17042,Intersection,11,Raining,Wet,Daylight,,2005
17045,Block,11,Clear,Dry,Daylight,,2005
17046,Intersection,11,Clear,Dry,Daylight,,2005
17065,Intersection,11,Clear,Dry,Daylight,,2005
17069,Intersection,11,Clear,Dry,Dark - Street Lights On,,2005
17070,Intersection,11,Clear,Dry,Daylight,,2005
17078,Block,11,Clear,Dry,Dark - Street Lights On,,2005
17080,Block,15,Overcast,Dry,Unknown,,2005
17088,Intersection,11,Clear,Dry,Daylight,,2005
17092,Intersection,11,Clear,Dry,Daylight,,2005
17093,Intersection,11,Clear,Dry,Daylight,,2005
17095,Intersection,11,Clear,Dry,Dark - Street Lights On,,2005
17099,Intersection,11,Clear,Dry,Dusk,,2005
17107,Intersection,11,Clear,Dry,Daylight,,2005
17114,Intersection,11,Raining,Wet,Daylight,,2005
17119,Intersection,11,Clear,Dry,Daylight,,2005
17121,Intersection,11,Clear,Dry,Daylight,,2005
17124,Intersection,11,Clear,Dry,Dark - Street Lights On,,2005
17139,Intersection,11,Clear,Dry,Dark - Street Lights On,,2005
17142,Intersection,11,Clear,Dry,Dark - Street Lights On,Y,2005
17173,Intersection,11,Clear,Dry,Daylight,,2005
17179,Intersection,11,Clear,Dry,Daylight,,2005
17182,Intersection,11,Clear,Dry,Daylight,,2005
17186,Intersection,11,Clear,Dry,Daylight,,2005
17195,Intersection,11,Clear,Dry,Dark - Street Lights On,,2005
17196,Intersection,11,Raining,Wet,Daylight,,2005
17197,Block,11,Clear,Dry,Dark - Street Lights On,,2005
17206,Intersection,11,Clear,Dry,Daylight,,2005
17213,Intersection,11,Clear,Dry,Daylight,,2005
17218,Intersection,11,Clear,Dry,Daylight,,2005
17221,Intersection,11,Raining,Wet,Daylight,,2005
17236,Block,11,Clear,Dry,Daylight,,2005
17237,Intersection,11,Raining,Wet,Daylight,,2005
17242,Intersection,11,Overcast,Wet,Dark - Street Lights On,,2005
17249,Intersection,11,Clear,Dry,Daylight,,2005
17250,Intersection,11,Overcast,Wet,Daylight,,2005
17256,Intersection,11,Raining,Wet,Daylight,,2005
17257,Intersection,11,Clear,Dry,Daylight,,2005
17258,Intersection,11,Clear,Dry,Daylight,,2005
17261,Intersection,11,Clear,Dry,Daylight,,2005
17268,Intersection,11,Raining,Dry,Dark - Street Lights On,,2005
17271,Block,11,Clear,Dry,Daylight,,2005
17276,Intersection,11,Clear,Dry,Dark - Street Lights On,,2005
17277,Intersection,11,Raining,Wet,Daylight,,2005
17287,Intersection,11,Clear,Dry,Daylight,,2005
17288,Intersection,11,Clear,Dry,Daylight,,2005
17299,Intersection,11,Clear,Dry,Dark - Street Lights On,Y,2005
17300,Intersection,11,Overcast,Wet,Daylight,,2005
17306,Intersection,11,Clear,Dry,Daylight,,2005
17311,Intersection,11,Clear,Dry,Daylight,,2005
17322,Intersection,11,Clear,Dry,Dark - Street Lights On,,2005
17336,Intersection,11,Clear,Dry,Daylight,,2005
17339,Intersection,11,Raining,Wet,Dark - Street Lights On,,2005
17350,Intersection,11,Overcast,Wet,Dark - Street Lights On,,2005
17362,Intersection,11,Clear,Dry,Daylight,,2005
17363,Intersection,11,Clear,Dry,Daylight,,2005
